year,rank,country,regional indicator,ladder score,log GDP per capita,social support,healthy life expectancy,freedom to make life choices,generosity,perceptions of corruption,dystopia + residual,whisker-high,whisker-low
2019,1,Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2.714,7.83,7.708
2019,2,Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2.393,7.667,7.534
2019,3,Norway,Western Europe,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2.241,7.616,7.492
2019,4,Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2.401,7.613,7.374
2019,5,Netherlands,Western Europe,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2.393,7.542,7.433
2019,6,Switzerland,Western Europe,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2.272,7.553,7.408
2019,7,Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2.246,7.416,7.27
2019,8,New Zealand,North America and ANZ,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2.127,7.383,7.232
2019,9,Canada,North America and ANZ,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2.193,7.357,7.2
2019,10,Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2.378,7.313,7.179
2019,11,Australia,North America and ANZ,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2.094,7.315,7.141
2019,12,Costa Rica,Latin America and Caribbean,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2.933,7.254,7.081
2019,13,Israel,Middle East and North Africa,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2.665,7.206,7.071
2019,14,Luxembourg,Western Europe,7.09,1.609,1.479,1.012,0.526,0.194,0.316,1.954,7.152,7.028
2019,15,United Kingdom,Western Europe,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2.112,7.126,6.982
2019,16,Ireland,Western Europe,7.021,1.499,1.553,0.999,0.516,0.298,0.31,1.845,7.102,6.941
2019,17,Germany,Western Europe,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2.15,7.045,6.925
2019,18,Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2.235,6.988,6.858
2019,19,United States,North America and ANZ,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2.266,6.986,6.798
2019,20,Czech Republic,Central and Eastern Europe,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2.636,6.921,6.783
2019,21,United Arab Emirates,Middle East and North Africa,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2.145,6.901,6.748
2019,22,Malta,Western Europe,6.726,1.3,1.52,0.999,0.564,0.375,0.151,1.816,6.81,6.642
2019,23,Mexico,Latin America and Caribbean,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2.761,6.687,6.502
2019,24,France,Western Europe,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2.021,6.667,6.518
2019,25,Taiwan Province of China,East Asia,6.446,1.368,1.43,0.914,0.351,0.242,0.097,2.045,6.528,6.365
2019,26,Chile,Latin America and Caribbean,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2.397,6.534,6.354
2019,27,Guatemala,Latin America and Caribbean,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2.833,6.549,6.323
2019,28,Saudi Arabia,Middle East and North Africa,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2.169,6.481,6.268
2019,29,Qatar,Middle East and North Africa,6.374,1.684,1.313,0.871,0.555,0.22,0.167,1.565,6.568,6.181
2019,30,Spain,Western Europe,6.354,1.286,1.484,1.062,0.362,0.153,0.079,1.929,6.432,6.276
2019,31,Panama,Latin America and Caribbean,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2.141,6.433,6.209
