year,rank,country,regional indicator,ladder score,log GDP per capita,social support,healthy life expectancy,freedom to make life choices,generosity,perceptions of corruption,dystopia + residual,whisker-high,whisker-low
2017,1,Norway,Western Europe,7.537,1.616,1.534,0.797,0.635,0.362,0.316,2.277,7.594,7.48
2017,2,Denmark,Western Europe,7.522,1.482,1.551,0.793,0.626,0.355,0.401,2.314,7.582,7.462
2017,3,Iceland,Western Europe,7.504,1.481,1.611,0.834,0.627,0.476,0.154,2.323,7.622,7.386
2017,4,Switzerland,Western Europe,7.494,1.565,1.517,0.858,0.62,0.291,0.367,2.277,7.562,7.426
2017,5,Finland,Western Europe,7.469,1.444,1.54,0.809,0.618,0.245,0.383,2.43,7.528,7.41
2017,6,Netherlands,Western Europe,7.377,1.504,1.429,0.811,0.585,0.47,0.283,2.295,7.427,7.327
2017,7,Canada,North America and ANZ,7.316,1.479,1.481,0.835,0.611,0.436,0.287,2.187,7.384,7.248
2017,8,New Zealand,North America and ANZ,7.314,1.406,1.548,0.817,0.614,0.5,0.383,2.046,7.38,7.248
2017,9,Sweden,Western Europe,7.284,1.494,1.478,0.831,0.613,0.385,0.384,2.098,7.344,7.224
2017,10,Australia,North America and ANZ,7.284,1.484,1.51,0.844,0.602,0.478,0.301,2.065,7.357,7.211
2017,11,Israel,Middle East and North Africa,7.213,1.375,1.376,0.838,0.406,0.33,0.085,2.802,7.28,7.146
2017,12,Costa Rica,Latin America and Caribbean,7.079,1.11,1.416,0.76,0.58,0.215,0.1,2.899,7.168,6.99
2017,13,Austria,Western Europe,7.006,1.487,1.46,0.815,0.568,0.316,0.221,2.139,7.071,6.941
2017,14,United States,North America and ANZ,6.993,1.546,1.42,0.774,0.506,0.393,0.136,2.218,7.075,6.911
2017,15,Ireland,Western Europe,6.977,1.536,1.558,0.81,0.573,0.428,0.298,1.774,7.043,6.911
2017,16,Germany,Western Europe,6.951,1.488,1.473,0.799,0.563,0.336,0.277,2.016,7.005,6.897
2017,17,Belgium,Western Europe,6.891,1.464,1.462,0.818,0.54,0.232,0.251,2.124,6.956,6.826
2017,18,Luxembourg,Western Europe,6.863,1.742,1.458,0.845,0.597,0.283,0.319,1.62,6.924,6.802
2017,19,United Kingdom,Western Europe,6.714,1.442,1.496,0.805,0.508,0.493,0.265,1.704,6.784,6.644
2017,20,Chile,Latin America and Caribbean,6.652,1.253,1.284,0.819,0.377,0.327,0.082,2.51,6.739,6.565
2017,21,United Arab Emirates,Middle East and North Africa,6.648,1.626,1.266,0.727,0.608,0.361,0.324,1.735,6.722,6.574
2017,22,Brazil,Latin America and Caribbean,6.635,1.107,1.431,0.617,0.437,0.162,0.111,2.769,6.725,6.545
2017,23,Czech Republic,Central and Eastern Europe,6.609,1.353,1.434,0.754,0.491,0.088,0.037,2.452,6.684,6.534
2017,24,Argentina,Latin America and Caribbean,6.599,1.185,1.44,0.695,0.495,0.109,0.06,2.614,6.69,6.508
2017,25,Mexico,Latin America and Caribbean,6.578,1.153,1.211,0.71,0.413,0.121,0.133,2.837,6.671,6.485
2017,26,Singapore,Southeast Asia,6.572,1.692,1.354,0.949,0.55,0.346,0.464,1.216,6.637,6.507
2017,27,Malta,Western Europe,6.527,1.343,1.488,0.822,0.589,0.575,0.153,1.557,6.598,6.456
2017,28,Uruguay,Latin America and Caribbean,6.454,1.218,1.412,0.719,0.579,0.175,0.178,2.172,6.546,6.362
2017,29,Guatemala,Latin America and Caribbean,6.454,0.872,1.256,0.54,0.531,0.283,0.077,2.894,6.567,6.341
2017,30,Panama,Latin America and Caribbean,6.452,1.234,1.373,0.706,0.55,0.211,0.071,2.307,6.557,6.347
2017,31,France,Western Europe,6.442,1.431,1.388,0.844,0.47,0.13,0.173,2.006,6.516,6.368
2017,32,Thailand,Southeast Asia,6.424,1.128,1.426,0.647,0.58,0.572,0.032,2.04,6.509,6.339
2017,33,Taiwan Province of China,East Asia,6.422,1.434,1.385,0.794,0.361,0.258,0.064,2.127,6.495,6.349
2017,34,Spain,Western Europe,6.403,1.384,1.532,0.889,0.409,0.19,0.071,1.928,6.471,6.335
2017,35,Qatar,Middle East and North Africa,6.375,1.871,1.274,0.71,0.604,0.33,0.439,1.145,6.568,6.182
2017,36,Colombia,Latin America and Caribbean,6.357,1.071,1.402,0.595,0.477,0.149,0.047,2.616,6.452,6.262
2017,37,Saudi Arabia,Middle East and North Africa,6.344,1.531,1.287,0.59,0.45,0.148,0.273,2.065,6.444,6.244
2017,38,Trinidad and Tobago,Latin America and Caribbean,6.168,1.361,1.38,0.52,0.519,0.325,0.009,2.053,6.382,5.954
2017,39,Kuwait,Middle East and North Africa,6.105,1.633,1.26,0.632,0.496,0.228,0.215,1.64,6.192,6.018
2017,40,Slovakia,Central and Eastern Europe,6.098,1.325,1.505,0.713,0.296,0.137,0.024,2.098,6.177,6.019
2017,41,Bahrain,Middle East and North Africa,6.087,1.488,1.323,0.653,0.537,0.173,0.257,1.656,6.179,5.995
2017,42,Malaysia,Southeast Asia,6.084,1.291,1.285,0.619,0.402,0.417,0.066,2.004,6.18,5.988
2017,43,Nicaragua,Latin America and Caribbean,6.071,0.737,1.287,0.653,0.448,0.302,0.131,2.514,6.187,5.955
2017,44,Ecuador,Latin America and Caribbean,6.008,1.001,1.286,0.686,0.455,0.15,0.14,2.29,6.106,5.91
2017,45,El Salvador,Latin America and Caribbean,6.003,0.91,1.182,0.596,0.432,0.078,0.09,2.715,6.109,5.897
2017,46,Poland,Central and Eastern Europe,5.973,1.292,1.446,0.699,0.52,0.158,0.059,1.798,6.054,5.892
2017,47,Uzbekistan,Commonwealth of Independent States,5.971,0.786,1.549,0.498,0.658,0.416,0.247,1.817,6.066,5.876
2017,48,Italy,Western Europe,5.964,1.395,1.445,0.853,0.256,0.173,0.028,1.813,6.043,5.885
2017,49,Russia,Commonwealth of Independent States,5.963,1.282,1.469,0.547,0.374,0.052,0.033,2.206,6.03,5.896
2017,50,Belize,Latin America and Caribbean,5.956,0.908,1.081,0.45,0.548,0.24,0.097,2.632,6.197,5.715
2017,51,Japan,East Asia,5.92,1.417,1.436,0.913,0.506,0.121,0.164,1.363,5.991,5.849
2017,52,Lithuania,Central and Eastern Europe,5.902,1.315,1.474,0.629,0.234,0.01,0.012,2.228,5.983,5.821
2017,53,Algeria,Middle East and North Africa,5.872,1.092,1.146,0.618,0.233,0.069,0.146,2.568,5.978,5.766
2017,54,Latvia,Central and Eastern Europe,5.85,1.261,1.405,0.639,0.326,0.153,0.074,1.994,5.92,5.78
2017,55,South Korea,East Asia,5.838,1.402,1.128,0.9,0.258,0.207,0.063,1.88,5.923,5.753
2017,56,Moldova,Commonwealth of Independent States,5.838,0.729,1.252,0.589,0.241,0.209,0.01,2.808,5.908,5.768
2017,57,Romania,Central and Eastern Europe,5.825,1.218,1.15,0.685,0.457,0.134,0.004,2.177,5.92,5.73
2017,58,Bolivia,Latin America and Caribbean,5.823,0.834,1.228,0.474,0.559,0.226,0.06,2.443,5.904,5.742
2017,59,Turkmenistan,Commonwealth of Independent States,5.822,1.131,1.493,0.438,0.418,0.25,0.259,1.833,5.885,5.759
2017,60,Kazakhstan,Commonwealth of Independent States,5.819,1.285,1.384,0.606,0.437,0.202,0.119,1.785,5.904,5.734
2017,61,North Cyprus,Western Europe,5.81,1.347,1.186,0.835,0.471,0.267,0.155,1.549,5.897,5.723
2017,62,Slovenia,Central and Eastern Europe,5.758,1.341,1.453,0.791,0.573,0.243,0.045,1.313,5.842,5.674
2017,63,Peru,Latin America and Caribbean,5.715,1.035,1.219,0.63,0.45,0.127,0.047,2.207,5.812,5.618
2017,64,Mauritius,Sub-Saharan Africa,5.629,1.189,1.21,0.638,0.491,0.361,0.042,1.698,5.73,5.528
2017,65,Cyprus,Western Europe,5.621,1.356,1.131,0.845,0.355,0.271,0.041,1.621,5.715,5.527
2017,66,Estonia,Central and Eastern Europe,5.611,1.321,1.477,0.695,0.479,0.099,0.183,1.358,5.688,5.534
2017,67,Belarus,Commonwealth of Independent States,5.569,1.157,1.445,0.638,0.295,0.155,0.156,1.723,5.646,5.492
2017,68,Libya,Middle East and North Africa,5.525,1.102,1.358,0.52,0.466,0.152,0.093,1.835,5.677,5.373
2017,69,Turkey,Middle East and North Africa,5.5,1.198,1.338,0.638,0.301,0.047,0.1,1.879,5.595,5.405
2017,70,Paraguay,Latin America and Caribbean,5.493,0.933,1.507,0.579,0.474,0.224,0.091,1.685,5.577,5.409
2017,71,Hong Kong S.A.R.. China,East Asia,5.472,1.552,1.263,0.943,0.491,0.374,0.294,0.555,5.55,5.394
2017,72,Philippines,Southeast Asia,5.43,0.858,1.254,0.468,0.585,0.194,0.099,1.973,5.545,5.315
2017,73,Serbia,Central and Eastern Europe,5.395,1.069,1.258,0.651,0.209,0.22,0.041,1.947,5.492,5.298
2017,74,Jordan,Middle East and North Africa,5.336,0.991,1.239,0.605,0.418,0.172,0.12,1.791,5.448,5.224
2017,75,Hungary,Central and Eastern Europe,5.324,1.286,1.343,0.688,0.176,0.078,0.037,1.716,5.403,5.245
2017,76,Jamaica,Latin America and Caribbean,5.311,0.926,1.368,0.641,0.474,0.234,0.055,1.612,5.581,5.041
2017,77,Croatia,Central and Eastern Europe,5.293,1.223,0.968,0.701,0.256,0.248,0.043,1.854,5.392,5.194
2017,78,Kosovo,Central and Eastern Europe,5.279,0.951,1.138,0.541,0.26,0.32,0.057,2.011,5.365,5.193
2017,79,China,East Asia,5.273,1.081,1.161,0.741,0.473,0.029,0.023,1.765,5.319,5.227
2017,80,Pakistan,South Asia,5.269,0.727,0.673,0.402,0.235,0.315,0.124,2.792,5.36,5.178
2017,81,Indonesia,Southeast Asia,5.262,0.996,1.274,0.492,0.443,0.612,0.015,1.429,5.353,5.171
2017,82,Venezuela,Latin America and Caribbean,5.25,1.128,1.431,0.617,0.154,0.065,0.064,1.789,5.37,5.13
2017,83,Montenegro,Central and Eastern Europe,5.237,1.121,1.238,0.667,0.195,0.198,0.088,1.729,5.341,5.133
